id,location_id,person_id,name,st_first,ad_hist,ad_city,post_code,coords_lat,coords_long,description,adult_child,assoc_gender,communist_party_member,communist_party_orbit,assoc_country,cntry_jamaica,cntry_grenada,cntry_usa,cntry_canada,cntry_trinidad,cntry_ghana,cntry_kenya,cntry_ethiopia,cntry_sierra_l,cntry_uk,cntry_guyana,cntry_virgin,cntry_barbados,cntry_dominica,cntry_nigeria,cntry_botswn,cntry_uganda,cntry_sa,cntry_stluc,cntry_sudan,cntry_somalia,cntry_mali,cntry_mauritius,cntry_panama,cntry_stvincent,cntry_belize,cntry_liberia,cntry_gambia,second_gen,third_gen,carib_born,namerica_born,africa_born,day_month_yr,month_yr,year_first,year_last,link,prim_source,citation,entrant
i0001,l0001,p0001,Harold Moody,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,Harold Moody was a Jamaican doctor and founder of the LCP whose family home was located here. Harold Moody arrived in Britain from Jamaica in 1904 and trained as a doctor at King's College. His house in Peckham became a central meeting point for a huge number of Caribbean and African political activists and was the initial headquarters for the League of Coloured Peoples (LCP). ,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1922,1947,https://www.english-heritage.org.uk/visit/blue-plaques/dr-harold-moody/,,(Bourne 2010: 17),OA 16/10/19
i0002,l0002,p0001,Harold Moody,Wren Road,,London,SE5 8QY,51.473239,-0.091602,Harold Moody was a Jamaican doctor and founder of the League of Coloured Peoples who was a lay preacher and deacon and promoted his stance on racial justice to the congregation here at the Camberwell Green Congregational Church.,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1947,http://www.exploringsouthwark.co.uk/urc-love-walk/4592790664,,(Bourne 2010: 18),OA 16/10/19
i0003,l0001,p0002,Paul Robeson,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"Paul Robeson was an American singer actor and socialist who visited Jamaican doctor and founder of the League of Coloured Peoples, Harold Moody, here at his house. ",adult,male,,1,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,(Bourne 2010: 18),OA 16/10/19
i0004,l0001,p0003,C.L.R. James,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"C.L.R. James was a Trinidadian historian and activist who visited Jamaican doctor and founder of the League of Coloured Peoples, Harold Moody, here at his house. ",adult,male,1,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1938,,,(Bourne 2010: 18),OA 16/10/19
i0005,l0001,p0004,Kwame Nkrumah,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"Kwame Nkrumah was an African activist and the future president of an independent Ghana who visited Jamaican doctor and founder of the League of Coloured Peoples, Harold Moody, here at his house. ",adult,male,,,Ghana,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,(Bourne 2010: 18),OA 16/10/19
i0006,l0001,p0005,Jomo Kenyatta,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"Jomo Kenyatta was a Kenyan student and activist and the future president of an independent Kenya who visited Jamaican doctor and founder of the League of Coloured Peoples, Harold Moody, here at his house. ",adult,male,,,Kenya,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,(Bourne 2010: 18),OA 16/10/19
i0007,l0001,p0006,Learie Constantine,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"Learie Constantine was a famous and accomplished Trinidadian cricketer who visited Jamaican doctor and founder of the League of Coloured Peoples, Harold Moody, here at his house. ",adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Bourne 2010: 18),OA 16/10/19
i0008,l0003,p0001,Harold Moody,Buckingham Palace,,London,SW1A 1AA,51.501341,-0.141718,Harold Moody was a Jamaican doctor and founder of the League of Coloured Peoples who met the Queen at Buckingham Palace at an event marking the purchase of mobile canteens by colonial governments to help people during the Blitz. ,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12/12/1942,December 1942,1942,,,,(Bourne 2010: 22),OA 16/10/19
i0009,l0004,p0001,Harold Moody,277-281 New Cross Road,,London,SE14 6AS,51.475354,-0.038887,Harold Moody was a Jamaican doctor and founder of the League of Coloured Peoples who attended the scene of V2 rocket attack on Woolworth's store that killed c.200. Harold Moody was one of the first on scene tending to victims in one of the worst single tragedies for civilian casualties in the war. ,adult,male,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,25/11/1944,November 1944,1944,,,,(Bourne 2010: 21),OA 16/10/19
i0010,l0005,p0007,Ernest Marke,5 Gerrard Street,,London,W1D 5PF,51.512122,-0.130323,"Ernest Marke was a Sierra Leoneon nightclub owner who opened a club here popular with African American GIs and featuring West Indian muscians. It also held political discussions and was visited by Jomo Kenyatta and Kwame Nkrumah, future presidents of Kenya and Ghana.",adult,male,,,Sierra Leone,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,(Bourne 2010: 31),OA 16/10/19
