id,st_address,ad_hist,ad_city,post_code,coords_lat,coords_long,description,more_info,prim_source,org_lcp,org_unia,org_iafe_iasb,org_wasu,org_wisu,org_apu,org_npu,org_cwa,org_csa,org_paf,day_month_yr,month_yr,year_first,year_last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,single_event,mulltiple_events,citation,entrant,residential,res_cntry,social,political,discrimination,paid_work,black_org_hq,bombing,nightlife,civ_defence,evacuation,religious,education,immigration,us_military_hq,us_military_social,uk_govt_hq,uk_govt_social,other_govt,healthcare,arts ,sport,short_term_residence
l0001,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"Site of the family home and surgery of Harold Moody, which also served as the headquarters of the League of Colored Peoples (LCP) until 1937. Harold Moody arrived in Britain from Jamaica in 1904 and, after training as a doctor at King's College, his house in Peckham became a central meeting point for a huge number of Caribbean and African political activists.",https://www.english-heritage.org.uk/visit/blue-plaques/dr-harold-moody/,,1,,,,,,,,,,,,1922,1947,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,(CO 859/80/10),"OA 16/10/19, WW 03/02/20",1,,1,1,,1,1,,,,,,,,,,,,,1,,,
l0002,Wren Road,,London,SE5 8QY,51.473239,-0.091602,"Site of the Camberwell Green Congregational Church, where prominent activist Harold Moody was a lay preacher and deacon. Moody, whose home and surgery was a short distance away, promoted racial justice to his congregation and his funeral was held here upon his death in 1947.",http://www.exploringsouthwark.co.uk/urc-love-walk/4592790664,,1,,,,,,,,,,,,1935,1947,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,(Bourne 2010: 18),OA 16/10/19,,,1,1,,,,,,,,1,,,,,,,,,,,
l0003,Buckingham Palace,,London,SW1A 1AA,51.501341,-0.141718,Site where prominent activist Harold Moody met the Queen at Buckingham Palace at an event marking the purchase of mobile canteens by colonial governments to help people during the Blitz. The Palace was also the site where Trinidadian cricketer Learie Constantine was knighted in May 1947 and Nigerian lawyer Adeyemo Alakija was knighted in 1945.,,,1,,,,,,,,,,12/12/1940,December.40,1940,1947,,,,,,1,,,,,1,,1,,1,"(Bourne 2010: 21), (Mason 2008: 88), (Adi 1998: 21)","OA 16/10/19, WW 23/01/20, WW 03/02/20",,,,,,,,,,,,,,,,,1,,,,,,
l0004,277-281 New Cross Road,,London,SE14 6AS,51.475354,-0.038887,"Site where a V2 rocket landed on a busy Woolworth's store in 1944, killing around 200 people. Local doctor and politcal activist Harold Moody, orginally from Jamaica, was one of the first on scene tending to victims.",http://www.eastlondonlines.co.uk/2014/12/new-cross-remembrance-of-world-war-ii-bombing/,,1,,,,,,,,,,25/11/1944,November.44,1944,1944,,,,,,,,,,1,,,,1,,(Bourne 2010: 22),OA 16/10/19,,,,,,,,1,,,,,,,,,,,,,,,
l0005,5 Gerrard Street,Coloured Colonial Social Club,London,W1D 5PF,51.512122,-0.130323,Site of a nightclub set up by Sierra Leoneon Ernest Marke which was especially popular with African American GIs after their arrival in the country. It also hosted political discussions by anti-colonial protestors including African nationalists like Jomo Kenyatta and Kwame Nkrumah.,,,,,,,,,,1,,,,,1939,1945,,,,,1,1,1,1,1,1,1,,,,,(Bourne 2010: 31),OA 16/10/19,,,1,1,,1,,,1,,,,,,,1,,,,,,,
l0006,41 New Compton Street,,London,WC2H 8DF,51.514905,-0.127733,Site of a nightclub owned by Sierra Leoneon Ernest Marke.,,,,,,,,,,,,,,,1940,,,,,,,1,1,1,1,1,1,,,,,(Bourne 2010: 31),OA 16/10/19,,,1,,,,,,1,,,,,,,,,,,,,,
l0007,Imperial Hotel,,London,WC1B 5BB,51.521728,-0.124204,"Site of the Imperial Hotel where famous Trinidadian cricketer Learie Constantine and his family were refused admittance in 1943, with the manager blaming 'the Americans'. Constantine subsequently took the hotel to court and won his case in a landmark ruling.",https://www.newlawjournal.co.uk/content/crossing-boundaries,,,,,,,,,,,,30/07/1943,July.43,1943,,,,,,,,,,1,,,,,,,(Bourne 2010: 35),OA 16/10/19,,,,,1,,,,,,,,,,,1,,,,,,,1
l0008,2 Beaumont Crescent,,London,W14 9LX,51.489536,-0.205629,"Site of the offices of the Universal Negro Improvement Association (UNIA), Jamaican Marcus Garvey's famous interwar nationalist organization, that he attempted to revive from London in the late 1930s.",,,,1,,,,,,,,,,,1935,1940,1,1,1,1,1,1,,,,,,,,,,(Bourne 2010: 50),OA 16/10/19,,,,1,,1,1,,,,,,,,,,,,,,,,
l0009,53 Talgarth Road,,London,W14 9DD,51.49034,-0.209555,"Site of the home of Marcus Garvey, a famous Jamaican pioneer of black nationalism in the interwar period who spent the final years of his life in London.",,,,1,,,,,,,,,,,1935,1940,1,1,1,1,1,1,,,,,,,,,,(Bourne 2010: 50),OA 16/10/19,1,,1,1,,,,,,,,,,,,,,,,,,,
l0010,,13 Dieppe Street,London,W14,51.489589,-0.204457,"Site of the home of Esther Bruce, a hospital cleaner and fire watcher whose father had settled in London from British Guiana early in the twentieth century.",https://www.bbc.co.uk/history/ww2peopleswar/stories/28/a2045828.shtml,,,,,,,,,,,,,,1941,1941,,,,,,,1,1,1,1,1,1,1,,,(Bourne 2010: 52),OA 16/10/19,1,,,,,,,,,1,,,,,,,,,,,,,
l0011,Brompton Hospital,,London,SW3 6NP,51.489282,-0.170042,"Site of the hospital where Esther Bruce, whose father had settled in London from British Guiana early in the twentieth century, was a wartime cleaner. She worked on a ward for injured service personnel and acted as a fire watcher.",,,,,,,,,,,,,,,1941,1945,,,,,,,1,1,1,1,1,,,,,(Bourne 2010: 52),OA 16/10/19,,,,,,1,,,,1,,,,,,,,,,,,,
l0012,,Sandford Street Canning Town,London,,51.5119,0.0163,"Site of the home of Joseph Cozier from British Guiana and Florence Tindling who sent three children to be evacuated to Great Bedwin, Wilts.",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,(Bourne 2010: 58-9),OA 16/10/19,1,,,,,,,,,,,,,,,,,,,,,,
l0013,St Joachims Catholic Primary School,,London,E16 3DT,51.511394,0.031059,"Site of the school from where Christopher, Joseph and Joan Cozier (children of Joseph Cozier from British Guiana) were evacuated to Great Bedwin near Marlborough in Wiltshire.",,,,,,,,,,,,,,,1939,1939,,,,,1,,,,,,,,,,,(Bourne 2010: 59),OA 16/10/19,,,,,,,,,,,1,,1,,,,,,,,,,
