id,location_id,person_id,name,image link,image credit,st_first,ad_hist,ad_city,post_code,coords_lat,coords_long,description,adult_child,assoc_gender,citation,entrant
i0003,l0001,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"Paul Robeson was an American singer actor and socialist who visited Jamaican doctor and founder of the League of Coloured Peoples, Harold Moody, here at his house. ",adult,male,(Bourne 2010: 18),OA 16/10/19
i0024,l0020,p0017,Adelaide Hall,https://upload.wikimedia.org/wikipedia/commons/7/7a/Vu_%28magazine%29_N%C2%B077.JPG,"Au revoir Black Birds !, issue 04 09 1929 front cover with Adelaide Hall from Vu",,Bruton Mews,London,W1J 6LY,51.510935,-0.145109,"Adelaide Hall was an American jazz singer and entertainer who co-owned a private members club here. The club was popular with service personnel and visited by Bob Hope and Fred Astaire, before being bombed in October 1940.",adult,female,(Bourne 2010: 76),OA 16/10/19
i0027,l0021,p0017,Adelaide Hall,https://upload.wikimedia.org/wikipedia/commons/7/7a/Vu_%28magazine%29_N%C2%B077.JPG,"Au revoir Black Birds !, issue 04 09 1929 front cover with Adelaide Hall from Vu",135 Rushey Green,,London,SE6 4BQ,51.446062,-0.019015,Adelaide Hall was an American jazz singer and entertainer who performed to a crowd in the midst of an air raid here.,adult,female,(Bourne 2010: 77-8),OA 16/10/19
i0035,l0024,p0028,Elisabeth Welch,,,Piccadilly Theatre,,London,W1D 7DY,51.51091,-0.135591,"Elisabeth Welch was an American singer, actress and entertainer who joined an all-star cast at benefit concert here for London fire service orphans.",adult,female,(Bourne 2010: 86),OA 14/01/20
i0036,l0025,p0028,Elisabeth Welch,,,Stage Door Canteen,,London,SW1Y 6HY,51.509177,-0.13628,"Elisabeth Welch was an American singer, actress and entertainer who was a regular performer here.",adult,female,(Bourne 2010: 87),OA 14/01/20
i0100,l0061,p0028,Elisabeth Welch,,,,"400 Club, Leicester Square",London,WC2H 7LA,51.510274,-0.12941,"Elisabeth Welch was an American singer, actress and entertainer who watched Reginald Forsyth perform several times a week at the 400 club in Leicester Square in the 1930s",adult,female,(Bourne 2012: 39),OA 20/01/20
i0106,l0052,p0070,Eslanda Robeson,https://ago-item-storage.s3.us-east-1.amazonaws.com/6ca8dc9b559d414ea1d65a3591245c09/43398932624_5060280caf_c.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEGoaCXVzLWVhc3QtMSJHMEUCICKFIKr2v6GWrEU7XcxE0rs9No913%2BPatZ6JPaavcbFVAiEAtz4m27Hk3%2B1%2BCKc3cdoz1T2XtXmlYi%2BSjicOl1vrhl0qvQMIk%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDIHcoJ1O%2B2noA1%2FOtCqRAyphCci5KNQ9MkHjFYwZeU%2FxFlpE7qlWO2HMEQsvpWejUMyh8WRN5u1sQ%2BBIxw0GLmh6b80nzc1M0DVN9S2fCEtotX3OayKlYC1pL%2F3XQ6oRoxWQYJqE%2FqoDgeWgOE0ipU0gCwyZh2YnlH1HEJVLJSVl%2BuxIkksb81aihKMq4r8CEMAMgdQZFgWVyefTQlmbNEJjYcs%2FyUpiC%2Bene7lyRYeVY3qfWTX9TXKkMBhTluK7UItlFE9KgAlNzVY6dCe4CFRtg7knWwEyn9Ilx0FXWQURaafz8Des8wWJjv5vM0ahUjJpD9iClAVgZJdAPXTn7MJSkjSzhoYxeSgDdbdfKifCytGe0DWu8pBdTRvrR0ht4yDKcSA%2BBC02PpJeurTlmJgEH%2B97yId9VuUalZUml7xTWx0ML33DkL%2Ffsx25oPtZzjvBUo1gea0TI3ueKrEcLky%2FDhAcK%2FpmCUUSqSwx6wefe6Anzncv71Hz1DvQaeI82chM8tEDuXKDBu%2FOVDymLzzptVJ4PNotJxcv3HgAxJeKMNKnqYIGOusBfDKnr5nLII9flvEzOk32gKoiVAps3vZ%2B5etV90jveySzeusOEWkWUt7COomo4IUbovdXj97rXuIKd9dFGIggN1x2IR%2BPSi7ly6qetrlgNaIosrBr%2FmuMGUFsDZeqHADgJqY8buXdPQIp4R3dYoINNzn3atDghurHWIgWevyOrInwgJmto%2BbXi1GJoz0wM%2BUfO7phm4YssF3PlAbVQa27N9qyTwazg64GFfapXlX0e%2BFekB4oSk%2FYze51Dhs6fDn1yUrz9riNk5lz%2BQ%2Byrii%2BoJBRLHVYehjtbeiQTrKgr3Vrpa%2FEYk2qiC8ppw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210311T183451Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE2UN56YPJ%2F20210311%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1afb923c291545d8a391b6de16b0dffb5e00fb3085d923d0f0881ab1c531269a,"Paul Robeson and Eslanda Goode Robeson June 1, 1933. Held by the Philadelphia Museum of Art",London School of Economics,,London,WC2A 2AE,51.513889,-0.116667,"Eslanda Robeson was an American anthropologist, author, actor and civil rights activist who studied Anthropology at LSE in the mid 1930s",adult,female,(Schwarz 1996: 184),WW 20/01/20
i0108,l0080,p0072,Ellis Thompson Jackson,https://ago-item-storage.s3.us-east-1.amazonaws.com/4858b60b1fd14193a5479586a576615e/3426577806_bd480de54f_z.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEGoaCXVzLWVhc3QtMSJHMEUCIEXBPkcvSm4ff4nQ4CrEBvGhcIGMbZhnLA%2FU2%2BH486kWAiEAzWBlNlK%2FhIl94CxOJCvGUxe9sKhC7gXSI6hUeE7abgwqvQMIkv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDBJhK4uGaCgxiuiVHSqRA%2FudG6XKR34CfxC8nIMRV7Fwe3U2RKYdMUhFwF4bd6vasy9zWFQ9hhSQnfJdyWgFgyQ4JXWKBYysD%2F50NFCEG%2FzVqyimxPfy%2Fq0Wf6RCXtULn%2B7u5nap6hRD%2FajOq%2FdN%2BuunkiZWPP6FfK5e2WkamiIzLWyCYxeb5f%2FgZFWGvb9yDDinIEGRSlX9znoTDBqEuwrL06wZJvSIv%2BVvBu3FERXeHedrfLWTPjhXN3KeN%2FWS%2B1L4JoQfvcbJ7QVXfdXtfSFuwk4ikJwDsirVwB7aDo8IeKrgw8%2Bu2Ph5TScfKPwoAMHzMhazcXVOqnc3hmMExTZ9cY0t07hMHSnywml4R4WwLZ9mmHKkAbuQPdSLjjIujq%2FIlkaN4hnCJ6ENOn0wrSDTtk3KsffDweN16xxsrWGqwovm3wt3tyeevGJYBT6WP0ild4euLP7CXGYAJYidsG42GhiUpdqlgzcNSSUYBrw%2B1me6DTBhIVr%2B5ZjSizHQPKsLh%2F6hghSoQZ7yVETbdUTUTJh9IfoNrhOy4YC3hkWvMLGbqYIGOusBKEHUKxxBc50NQsecKg6e%2FkwxXaBrtIK1fMtf%2BkgSua8BwhcAaenxy9RqXiu3wblzz4SQHNGSMqQP0MKRi20NE%2BY%2B3E%2F61QogH4igp77P747mC5lNCuv1Sld2kQg9DSdyJ668hfQx7HujsieYXG0DZx1XZrPf%2FNhUvjg8t4ducKZPpDEbPIaYi2R2xSoJMQxpYP5sfRxUefwBVzWuQV0Fl6kjgpoC0wmaJNbA1KvwjsAUH5ob443z6zmzeh7k5nKglpD31w3g7LBcFq4bSXtswwbfO7FNMj9YUThS2Mvlxx0wNpja0%2BZkbDpV8w%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210311T184211Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEXVVSB5MC%2F20210311%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=622944e560ab4f96af5d25d1ec3d7e52409a319a578f3335918ebe3124406ecd,Ellis Jackson 1915,,Shim Sham,London,,51.511388,-0.132186,Ellis Jackson was an African American trombone player who played at this Soho jazz club,adult,male,(Matera 2015: 11),OA 21/01/20
i0113,l0080,p0082,Garland Wilson,"https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-09351:ver01:0001/12,0,5542,5678/448,/0/default.jpg","Gottlieb, William P. Portrait of Garland Wilson, New York, N.Y.?, Between 1938 and 1948. United States, 1938.",,Shim Sham,London,,51.511388,-0.132186,Garland Wilson was a gay African American pianist who played regularly at the Shim Sham from the mid-1930s onwards.,adult,male,(Historic England Web),OA 21/01/20
i0114,l0084,p0083,Jimmie Daniels,https://upload.wikimedia.org/wikipedia/commons/8/8c/Macbeth-Opening-Audience-1_%28cropped_for_Jimmie_Daniels%29.jpg,Photograph of opening-night audience for the Federal Theatre Project production of Macbeth at the Lafayette Theatre,,Ciro's club in Orange Street,London,,51.509021,-0.131546,"Jimmie Daniels was a gay African American performer who played at Ciro's club, including with Reginald Forsythe",adult,male,(Historic England Web),OA 21/01/20
